index,klubi
1,Saleski AO
2,AO Kranj
3,PK Skofja Loka
4,PK Kamnik
5,SPO Radovljica
6,DRPK
7,AK Ravne
8,SD Proteus
9,SPO Celje
10,SPD Korenjak
11,PK Lasko
12,DES
13,PS Ascendo
14,SPO APD Kozjak Maribor
15,SPK Plus
16,SPS PD Mozirje
17,PS DPC Smartno
18,AK Slov. Bistrica
19,SPO Jesenice
20,AO Crnuce
21,SD Pajki
22,Posavski AK
23,PK Slovenske Konjice
24,SPO Domzale
25,SPO Trzic
26,PK 6b Ptuj
27,AO Ziri
28,AK Sl. Gradec
29,SPO Kamnik
30,AO Trbovlje
31,SPK Andreja Kokalja
32,PK Rifnik
33,AO Vipava
34,GSD Bricalp
35,PK Stena
36,SPO Rasica
37,PK Rogaska Slatina
38,SPO Zirovnica
39,DP Koper
40,PK Martincek
41,PK Ribnica
42,PK Divaca
43,PD Grosuplje
44,Soski AO
45,AK Crna
46,SD Triumf
47,AO Kamnik
48,PAS Gamsi Hrastnik
49,AO PD Ptuj
50,AO Lj - Matica
51,PD Krimper
52,AO Mojstrana
53,AS Ajdovscina
54,SPS PD Spik
55,SPO Tolmin
56,AO Slov. Bistrica